Scale, N, Approximate Area, Relative Deviation
1.3, 30600, 0.971864, 0.0289533
1.3, 31100, 0.939333, 0.0054883
1.3, 31600, 0.941629, 0.00305799
1.3, 32100, 0.948971, 0.00471579
1.3, 32600, 0.967177, 0.0239904
1.3, 33100, 0.949588, 0.00536904
1.3, 33600, 0.967243, 0.0240603
1.3, 34100, 0.971852, 0.02894
1.3, 34600, 0.92979, 0.015592
1.3, 35100, 0.942291, 0.00235693
1.3, 35600, 0.920749, 0.0251643
1.3, 36100, 0.929843, 0.0155363
1.3, 36600, 0.963379, 0.0199694
1.3, 37100, 0.954381, 0.0104432
1.3, 37600, 0.952177, 0.00810998
1.3, 38100, 0.962537, 0.0190787
1.3, 38600, 0.933894, 0.0112469
1.3, 39100, 0.965234, 0.0219338
1.3, 39600, 0.956781, 0.0129841
1.3, 40100, 0.952636, 0.00859571
1.3, 40600, 0.959924, 0.0163123
1.3, 41100, 0.936653, 0.00832584
1.3, 41600, 0.935269, 0.00979094
1.3, 42100, 0.897623, 0.0496485
1.3, 42600, 0.93877, 0.00608441
1.3, 43100, 0.919874, 0.0260905
1.3, 43600, 0.952662, 0.00862356
1.3, 44100, 0.913173, 0.0331853
1.3, 44600, 0.953774, 0.00980083
1.3, 45100, 0.930814, 0.0145085
1.3, 45600, 0.920247, 0.0256958
1.3, 46100, 0.956956, 0.013169
1.3, 46600, 0.941046, 0.00367463
1.3, 47100, 0.942219, 0.00243269
1.3, 47600, 0.956485, 0.0126704
1.3, 48100, 0.9462, 0.001782
1.3, 48600, 0.930718, 0.0146093
1.3, 49100, 0.93563, 0.00940939
1.3, 49600, 0.994106, 0.0525018
1.3, 50100, 0.933352, 0.0118208
1.3, 50600, 0.93452, 0.0105843
1.3, 51100, 0.920553, 0.0253718
1.3, 51600, 0.960988, 0.0174383
1.3, 52100, 0.937259, 0.00768487
1.3, 52600, 0.9549, 0.0109932
1.3, 53100, 0.944052, 0.000492133
1.3, 53600, 0.962528, 0.0190685
1.3, 54100, 0.929032, 0.016395
1.3, 54600, 0.93858, 0.00628633
1.3, 55100, 0.89577, 0.0516102
1.3, 55600, 0.947408, 0.0030608
1.3, 56100, 0.950679, 0.00652411
1.3, 56600, 0.939088, 0.0057482
1.3, 57100, 0.948705, 0.00443392
1.3, 57600, 0.953021, 0.00900315
1.3, 58100, 0.952738, 0.00870322
1.3, 58600, 0.920495, 0.0254328
1.3, 59100, 0.935505, 0.00954188
1.3, 59600, 0.931792, 0.013473
1.3, 60100, 0.955479, 0.0116056
1.3, 60600, 0.94624, 0.00182377
1.3, 61100, 0.963505, 0.0201032
1.3, 61600, 0.921543, 0.0243234
1.3, 62100, 0.929204, 0.0162122
1.3, 62600, 0.909184, 0.0374084
1.3, 63100, 0.954318, 0.0103763
1.3, 63600, 0.954049, 0.0100915
1.3, 64100, 0.963268, 0.0198523
1.3, 64600, 0.950726, 0.00657307
1.3, 65100, 0.948724, 0.00445357
1.3, 65600, 0.947253, 0.00289673
1.3, 66100, 0.932879, 0.0123214
1.3, 66600, 0.940185, 0.00458713
1.3, 67100, 0.936362, 0.00863429
1.3, 67600, 0.94888, 0.00461959
1.3, 68100, 0.935882, 0.00914251
1.3, 68600, 0.965945, 0.0226868
1.3, 69100, 0.926856, 0.0186988
1.3, 69600, 0.957968, 0.0142414
1.3, 70100, 0.935432, 0.00961914
1.3, 70600, 0.93672, 0.0082557
1.3, 71100, 0.957632, 0.0138849
1.3, 71600, 0.961271, 0.0177377
1.3, 72100, 0.936374, 0.0086217
1.3, 72600, 0.959572, 0.0159393
1.3, 73100, 0.962674, 0.019223
1.3, 73600, 0.935149, 0.0099182
1.3, 74100, 0.940369, 0.0043915
1.3, 74600, 0.923715, 0.0220242
1.3, 75100, 0.96154, 0.0180227
1.3, 75600, 0.939533, 0.00527743
1.3, 76100, 0.954734, 0.0108172
1.3, 76600, 0.968665, 0.0255662
1.3, 77100, 0.952154, 0.00808538
1.3, 77600, 0.943266, 0.00132422
1.3, 78100, 0.929023, 0.0164044
1.3, 78600, 0.931057, 0.0142513
1.3, 79100, 0.921848, 0.0240011
1.3, 79600, 0.94062, 0.00412578
1.3, 80100, 0.957312, 0.0135468
1.3, 80600, 0.932823, 0.0123808
1.3, 81100, 0.920994, 0.0249046
1.3, 81600, 0.924815, 0.0208599
1.3, 82100, 0.942197, 0.00245654
1.3, 82600, 0.958175, 0.0144605
1.3, 83100, 0.950433, 0.00626329
1.3, 83600, 0.929222, 0.0161934
1.3, 84100, 0.939132, 0.00570179
1.3, 84600, 0.916685, 0.0294673
1.3, 85100, 0.953582, 0.00959687
1.3, 85600, 0.944749, 0.000244967
1.3, 86100, 0.931247, 0.0140493
1.3, 86600, 0.93346, 0.011707
1.3, 87100, 0.962622, 0.0191684
1.3, 87600, 0.922991, 0.0227903
1.3, 88100, 0.926145, 0.0194509
1.3, 88600, 0.934827, 0.0102591
1.3, 89100, 0.937511, 0.00741806
1.3, 89600, 0.95135, 0.00723426
1.3, 90100, 0.966859, 0.0236546
1.3, 90600, 0.930512, 0.0148273
1.3, 91100, 0.951196, 0.00707144
1.3, 91600, 0.93865, 0.0062119
1.3, 92100, 0.940868, 0.00386311
1.3, 92600, 0.913077, 0.0332875
1.3, 93100, 0.942587, 0.00204392
1.3, 93600, 0.97617, 0.0335121
1.3, 94100, 0.940951, 0.00377579
1.3, 94600, 0.942578, 0.0020536
1.3, 95100, 0.953862, 0.00989393
1.3, 95600, 0.946295, 0.00188262
1.3, 96100, 0.955904, 0.0120562
1.3, 96600, 0.948916, 0.00465689
1.3, 97100, 0.947921, 0.00360405
1.3, 97600, 0.957206, 0.0134342
1.3, 98100, 0.95551, 0.0116381
1.3, 98600, 0.949331, 0.00509667
1.3, 99100, 0.923485, 0.0222675
1.3, 99600, 0.91489, 0.0313675
1.5, 100, 0.874992, 0.073609
1.5, 600, 0.765618, 0.189408
1.5, 1100, 0.994309, 0.0527171
1.5, 1600, 1.02538, 0.0856145
1.5, 2100, 0.947908, 0.00359027
1.5, 2600, 0.975953, 0.0332823
1.5, 3100, 0.9385, 0.00637093
1.5, 3600, 0.91145, 0.0350094
1.5, 4100, 0.960357, 0.0167706
1.5, 4600, 0.932057, 0.0131922
1.5, 5100, 1.01654, 0.0762484
1.5, 5600, 1.01562, 0.0752753
1.5, 6100, 0.921611, 0.0242521
1.5, 6600, 0.967794, 0.0246446
1.5, 7100, 0.982826, 0.0405589
1.5, 7600, 1.00739, 0.0665686
1.5, 8100, 0.893896, 0.0535944
1.5, 8600, 1.06067, 0.12298
1.5, 9100, 0.975953, 0.0332823
1.5, 9600, 0.936515, 0.00847212
1.5, 10100, 0.937801, 0.00711062
1.5, 10600, 0.953411, 0.00941663
1.5, 11100, 0.871051, 0.0777819
1.5, 11600, 0.974937, 0.0322072
1.5, 12100, 0.978039, 0.0354908
1.5, 12600, 0.888881, 0.0589044
1.5, 13100, 0.960154, 0.016555
1.5, 13600, 0.977932, 0.0353782
1.5, 14100, 0.977385, 0.0347985
1.5, 14600, 0.978373, 0.0358447
1.5, 15100, 0.863403, 0.0858791
1.5, 15600, 0.94931, 0.00507487
1.5, 16100, 0.944285, 0.00024572
1.5, 16600, 0.954058, 0.010101
1.5, 17100, 0.906973, 0.0397497
1.5, 17600, 0.942108, 0.00255058
1.5, 18100, 0.954757, 0.010841
1.5, 18600, 0.904394, 0.0424803
1.5, 19100, 0.979213, 0.0367334
1.5, 19600, 0.89843, 0.0487949
1.5, 20100, 0.965321, 0.0220259
1.5, 20600, 0.946138, 0.0017165
1.5, 21100, 0.971407, 0.0284696
1.5, 21600, 0.960061, 0.0164568
1.5, 22100, 0.899737, 0.0474101
1.5, 22600, 0.928227, 0.0172467
1.5, 23100, 0.939386, 0.00543302
1.5, 23600, 0.97139, 0.028451
1.5, 24100, 0.934898, 0.0101839
1.5, 24600, 0.94613, 0.00170736
1.5, 25100, 0.955171, 0.0112794
1.5, 25600, 0.973258, 0.0304291
1.5, 26100, 0.936175, 0.0088326
1.5, 26600, 0.994235, 0.0526379
1.5, 27100, 0.97912, 0.036635
1.5, 27600, 0.927302, 0.0182269
1.5, 28100, 0.896011, 0.0513558
1.5, 28600, 0.922413, 0.0234025
1.5, 29100, 0.937384, 0.00755189
1.5, 29600, 0.907509, 0.0391823
1.5, 30100, 1.01089, 0.070274
1.5, 30600, 0.966495, 0.0232685
1.5, 31100, 0.952363, 0.00830662
1.5, 31600, 0.929679, 0.0157095
